date,store_nbr,item_nbr,units
2012-01-01,43,16,71
2012-01-01,43,37,16
2012-01-01,44,5,26
2012-01-01,44,68,37
2012-01-01,45,9,7
2012-01-02,1,9,60
2012-01-02,1,28,5
2012-01-02,1,51,1
2012-01-02,2,11,2
2012-01-02,3,45,114
2012-01-02,4,9,49
2012-01-02,4,27,9
2012-01-02,5,16,36
2012-01-02,5,20,1
2012-01-02,5,37,29
2012-01-02,6,14,1
2012-01-02,6,45,85
2012-01-02,7,7,1
2012-01-02,7,23,22
2012-01-02,7,93,2
2012-01-02,8,5,73
2012-01-02,8,23,15
2012-01-02,8,59,1
2012-01-02,9,5,67
2012-01-02,9,10,2
2012-01-02,9,45,127
2012-01-02,10,5,84
2012-01-02,10,21,3
2012-01-02,10,37,33
2012-01-02,11,9,49
2012-01-02,11,68,71
2012-01-02,12,16,53
2012-01-02,12,37,41
2012-01-02,13,5,99
2012-01-02,13,36,120
2012-01-02,13,46,3
2012-01-02,14,9,50
2012-01-02,14,50,4
2012-01-02,15,17,5
2012-01-02,16,16,42
2012-01-02,16,25,102
2012-01-02,16,39,1
2012-01-02,16,50,4
2012-01-02,17,37,68
2012-01-02,17,48,123
2012-01-02,17,71,4
2012-01-02,18,5,40
2012-01-02,18,37,16
2012-01-02,19,16,30
2012-01-02,19,39,1
2012-01-02,19,69,4
2012-01-02,19,83,11
2012-01-02,19,93,2
2012-01-02,20,41,51
2012-01-02,20,74,4
2012-01-02,21,44,60
2012-01-02,22,9,112
2012-01-02,22,68,57
2012-01-02,23,5,47
2012-01-02,23,29,2
2012-01-02,23,45,43
2012-01-02,24,43,92
2012-01-02,24,60,3
2012-01-02,25,12,1
2012-01-02,25,45,133
2012-01-02,25,81,13
2012-01-02,26,5,46
2012-01-02,26,45,56
2012-01-02,27,9,53
2012-01-02,27,21,2
2012-01-02,27,68,41
2012-01-02,28,5,69
2012-01-02,28,45,95
2012-01-02,29,8,24
2012-01-02,29,41,13
2012-01-02,29,45,110
2012-01-02,30,16,76
2012-01-02,30,49,2
2012-01-02,30,51,2
2012-01-02,31,9,29
2012-01-02,31,45,70
2012-01-02,32,9,115
2012-01-02,32,45,72
2012-01-02,32,58,1
2012-01-02,32,93,2
2012-01-02,33,44,50
2012-01-02,34,9,88
2012-01-02,34,52,3
2012-01-02,36,9,34
2012-01-02,36,30,1
2012-01-02,36,44,115
2012-01-02,37,5,102
2012-01-02,37,45,84
2012-01-02,37,53,3
2012-01-02,39,9,13
2012-01-02,39,36,13
2012-01-02,40,45,116
2012-01-02,41,16,57
2012-01-02,42,5,61
2012-01-02,42,45,89
2012-01-02,42,82,2
2012-01-02,43,16,92
2012-01-02,43,37,41
2012-01-02,43,73,2
2012-01-02,44,5,95
2012-01-02,44,68,93
2012-01-02,45,9,51
2012-01-02,45,50,2
2012-01-03,1,9,15
2012-01-03,1,28,9
2012-01-03,2,5,104
2012-01-03,2,44,109
2012-01-03,3,5,61
2012-01-03,3,45,75
2012-01-03,4,9,29
2012-01-03,4,27,5
2012-01-03,4,90,1
2012-01-03,5,16,33
2012-01-03,5,20,3
2012-01-03,5,37,18
2012-01-03,6,9,59
2012-01-03,6,45,26
2012-01-03,7,7,3
2012-01-03,7,23,23
2012-01-03,8,5,87
2012-01-03,8,23,5
2012-01-03,9,10,2
2012-01-03,9,45,70
2012-01-03,10,21,3
2012-01-03,10,37,26
2012-01-03,11,9,42
2012-01-03,11,68,52
2012-01-03,12,16,36
2012-01-03,12,37,25
2012-01-03,13,36,87
2012-01-03,13,46,10
2012-01-03,14,9,15
2012-01-03,14,25,18
2012-01-03,14,50,1
2012-01-03,14,70,1
2012-01-03,14,93,3
2012-01-03,15,17,1
2012-01-03,15,45,128
2012-01-03,15,49,1
2012-01-03,16,16,20
2012-01-03,16,39,1
2012-01-03,16,50,1
2012-01-03,17,37,97
2012-01-03,17,71,1
2012-01-03,18,5,12
2012-01-03,18,37,8
2012-01-03,19,16,35
2012-01-03,19,83,8
2012-01-03,20,5,117
2012-01-03,20,41,30
2012-01-03,20,74,6
2012-01-03,21,5,50
2012-01-03,21,44,72
2012-01-03,22,9,69
2012-01-03,22,68,65
2012-01-03,23,5,46
2012-01-03,23,29,1
2012-01-03,23,45,39
2012-01-03,24,6,105
2012-01-03,24,43,92
2012-01-03,24,60,1
2012-01-03,25,9,95
2012-01-03,25,45,119
2012-01-03,25,81,14
2012-01-03,26,5,94
2012-01-03,26,45,71
2012-01-03,27,9,36
2012-01-03,27,21,1
2012-01-03,27,68,57
2012-01-03,27,80,5
2012-01-03,28,5,113
2012-01-03,28,45,29
2012-01-03,29,8,53
2012-01-03,29,41,16
2012-01-03,29,45,92
2012-01-03,30,16,63
2012-01-03,31,9,42
2012-01-03,31,45,71
2012-01-03,32,9,69
2012-01-03,32,45,46
2012-01-03,32,58,3
2012-01-03,33,92,1
2012-01-03,34,9,36
2012-01-03,34,31,1
2012-01-03,34,45,104
2012-01-03,34,52,3
2012-01-03,36,9,49
2012-01-03,36,30,1
2012-01-03,36,44,127
2012-01-03,37,5,86
2012-01-03,37,45,68
2012-01-03,37,53,1
2012-01-03,38,9,118
2012-01-03,38,45,79
2012-01-03,38,52,6
2012-01-03,39,9,2
2012-01-03,39,36,13
2012-01-03,40,5,58
2012-01-03,40,45,67
2012-01-03,41,16,51
2012-01-03,41,68,122
2012-01-03,42,5,72
2012-01-03,42,45,81
2012-01-03,42,82,1
2012-01-03,43,16,89
2012-01-03,43,37,30
2012-01-03,44,5,40
2012-01-03,44,68,97
2012-01-03,45,9,18
2012-01-04,1,9,20
2012-01-04,1,28,3
2012-01-04,2,5,58
2012-01-04,2,11,2
2012-01-04,3,5,106
2012-01-04,3,45,71
2012-01-04,4,9,80
2012-01-04,4,27,8
2012-01-04,4,90,1
2012-01-04,5,16,20
2012-01-04,5,32,2
2012-01-04,5,37,16
2012-01-04,6,9,54
2012-01-04,6,14,7
2012-01-04,6,45,51
2012-01-04,7,5,124
2012-01-04,7,23,19
2012-01-04,7,93,3
2012-01-04,8,5,45
2012-01-04,8,23,4
2012-01-04,8,59,1
2012-01-04,9,5,69
2012-01-04,9,45,70
2012-01-04,9,93,1
2012-01-04,10,5,57
2012-01-04,10,21,1
2012-01-04,10,37,25
2012-01-04,11,9,60
2012-01-04,11,68,49
2012-01-04,12,16,30
2012-01-04,12,37,32
2012-01-04,12,79,2
2012-01-04,13,5,114
2012-01-04,13,36,115
2012-01-04,13,46,1
2012-01-04,14,9,9
2012-01-04,14,25,17
2012-01-04,14,50,2
2012-01-04,15,17,1
2012-01-04,15,45,100
2012-01-04,16,16,24
2012-01-04,17,37,51
2012-01-04,18,5,22
2012-01-04,18,37,17
2012-01-04,19,16,27
2012-01-04,19,69,1
2012-01-04,19,83,4
2012-01-04,20,5,96
2012-01-04,20,18,1
2012-01-04,20,41,24
2012-01-04,20,74,3
2012-01-04,21,5,38
2012-01-04,21,44,46
2012-01-04,22,9,60
2012-01-04,22,68,59
2012-01-04,23,5,69
2012-01-04,23,45,17
2012-01-04,24,6,107
2012-01-04,24,43,70
2012-01-04,25,12,1
2012-01-04,25,45,121
2012-01-04,25,81,15
2012-01-04,26,5,43
2012-01-04,26,45,45
2012-01-04,27,9,41
2012-01-04,27,68,33
2012-01-04,27,93,10
2012-01-04,28,5,64
2012-01-04,28,45,48
2012-01-04,29,8,31
2012-01-04,29,41,10
2012-01-04,29,45,87
2012-01-04,29,56,3
2012-01-04,30,16,41
2012-01-04,30,51,1
2012-01-04,31,9,29
2012-01-04,31,45,64
2012-01-04,32,9,54
2012-01-04,32,19,1
2012-01-04,32,45,50
2012-01-04,32,58,2
2012-01-04,33,9,70
2012-01-04,34,9,58
2012-01-04,34,45,104
2012-01-04,34,52,2
2012-01-04,36,9,8
2012-01-04,36,30,1
2012-01-04,36,44,83
2012-01-04,37,5,53
2012-01-04,37,45,50
2012-01-04,37,53,2
2012-01-04,38,9,56
2012-01-04,38,45,65
2012-01-04,38,52,1
2012-01-04,39,9,15
2012-01-04,39,36,11
2012-01-04,40,5,81
2012-01-04,40,45,54
2012-01-04,41,16,41
2012-01-04,41,68,55
2012-01-04,42,5,15
2012-01-04,42,45,69
2012-01-04,42,82,2
2012-01-04,43,16,72
2012-01-04,43,37,19
2012-01-04,44,5,53
2012-01-04,44,62,1
2012-01-04,44,68,64
2012-01-04,45,9,29
2012-01-05,1,9,16
2012-01-05,1,28,1
2012-01-05,2,11,3
2012-01-05,3,5,75
2012-01-05,3,45,111
2012-01-05,4,9,128
2012-01-05,4,27,6
2012-01-05,5,16,38
2012-01-05,5,37,17
2012-01-05,6,9,88
2012-01-05,6,14,2
2012-01-05,6,45,49
2012-01-05,7,5,130
2012-01-05,7,7,1
2012-01-05,7,23,17
2012-01-05,8,5,61
2012-01-05,8,23,10
2012-01-05,8,59,1
2012-01-05,9,5,133
2012-01-05,9,45,75
2012-01-05,10,5,58
2012-01-05,10,21,1
2012-01-05,10,37,26
2012-01-05,11,9,49
2012-01-05,11,61,1
2012-01-05,11,68,59
2012-01-05,12,16,32
2012-01-05,12,37,27
2012-01-05,12,79,2
2012-01-05,13,36,106
2012-01-05,13,46,3
2012-01-05,14,9,40
2012-01-05,14,25,13
2012-01-05,14,50,2
2012-01-05,14,70,2
2012-01-05,15,5,112
2012-01-05,15,45,103
2012-01-05,15,61,2
2012-01-05,15,93,5
2012-01-05,16,16,32
2012-01-05,16,50,1
2012-01-05,17,37,69
2012-01-05,18,5,47
2012-01-05,18,37,18
2012-01-05,19,16,48
2012-01-05,19,69,2
2012-01-05,19,83,9
2012-01-05,20,18,1
2012-01-05,20,41,38
2012-01-05,20,74,5
2012-01-05,21,5,92
2012-01-05,21,44,84
2012-01-05,22,9,107
2012-01-05,22,68,48
2012-01-05,22,93,2
2012-01-05,23,5,57
2012-01-05,23,45,35
2012-01-05,24,6,129
2012-01-05,24,43,94
2012-01-05,24,60,2
2012-01-05,25,9,125
2012-01-05,25,45,80
2012-01-05,25,81,12
2012-01-05,26,5,56
2012-01-05,26,45,37
2012-01-05,27,9,35
2012-01-05,27,21,3
2012-01-05,27,68,40
2012-01-05,28,5,54
2012-01-05,28,45,68
2012-01-05,29,8,63
2012-01-05,29,41,23
2012-01-05,29,45,93
2012-01-05,30,16,52
2012-01-05,30,49,1
2012-01-05,30,65,1
2012-01-05,31,9,110
2012-01-05,31,45,97
2012-01-05,32,9,96
2012-01-05,32,19,1
2012-01-05,32,45,32
2012-01-05,33,92,5
2012-01-05,34,9,95
2012-01-05,34,31,5
2012-01-05,34,52,4
2012-01-05,36,9,41
2012-01-05,36,30,1
2012-01-05,36,44,131
2012-01-05,37,5,43
2012-01-05,37,45,62
2012-01-05,37,53,1
2012-01-05,38,9,132
2012-01-05,38,52,1
2012-01-05,39,9,12
2012-01-05,39,36,20
2012-01-05,40,5,80
2012-01-05,40,45,54
2012-01-05,40,51,3
2012-01-05,40,55,1
2012-01-05,41,16,56
2012-01-05,41,61,1
2012-01-05,41,68,96
2012-01-05,42,5,112
2012-01-05,42,45,106
2012-01-05,42,82,2
2012-01-05,43,16,73
2012-01-05,43,37,26
2012-01-05,44,5,48
2012-01-05,44,62,3
2012-01-05,44,68,63
2012-01-05,45,9,45
2012-01-06,1,9,12
2012-01-06,1,28,2
2012-01-06,2,11,2
2012-01-06,2,44,109
2012-01-06,3,5,81
2012-01-06,3,45,76
2012-01-06,4,9,124
2012-01-06,4,27,4
2012-01-06,4,90,1
2012-01-06,5,16,22
2012-01-06,5,32,1
2012-01-06,5,37,22
2012-01-06,6,9,40
2012-01-06,6,45,58
2012-01-06,7,5,105
2012-01-06,7,7,4
2012-01-06,7,23,11
2012-01-06,8,5,14
2012-01-06,8,23,4
2012-01-06,8,93,6
2012-01-06,9,5,94
2012-01-06,9,45,69
2012-01-06,10,5,48
2012-01-06,10,37,40
2012-01-06,11,9,17
2012-01-06,11,61,7
2012-01-06,11,68,53
2012-01-06,12,16,34
2012-01-06,12,37,25
2012-01-06,12,79,1
2012-01-06,12,93,1
2012-01-06,13,36,102
2012-01-06,13,46,3
2012-01-06,14,9,5
2012-01-06,14,25,21
2012-01-06,14,50,1
2012-01-06,14,70,3
2012-01-06,15,5,100
2012-01-06,15,45,112
2012-01-06,15,61,3
2012-01-06,16,16,27
2012-01-06,16,39,1
2012-01-06,16,50,1
2012-01-06,17,37,63
2012-01-06,17,48,119
2012-01-06,17,71,1
2012-01-06,18,5,11
2012-01-06,18,37,4
2012-01-06,19,16,26
2012-01-06,19,69,1
2012-01-06,19,83,9
2012-01-06,19,93,5
2012-01-06,20,18,1
2012-01-06,20,41,26
2012-01-06,20,74,2
2012-01-06,21,5,77
2012-01-06,21,44,65
2012-01-06,21,91,1
2012-01-06,22,68,60
2012-01-06,23,5,63
2012-01-06,23,29,1
2012-01-06,23,45,44
2012-01-06,24,6,80
2012-01-06,24,43,103
2012-01-06,25,9,79
2012-01-06,25,45,89
2012-01-06,25,81,10
2012-01-06,26,5,70
2012-01-06,26,45,42
2012-01-06,27,9,84
2012-01-06,27,68,51
2012-01-06,27,80,1
2012-01-06,28,5,30
2012-01-06,28,45,53
2012-01-06,29,8,37
2012-01-06,29,41,9
2012-01-06,29,45,87
2012-01-06,29,56,1
2012-01-06,30,16,56
2012-01-06,31,9,57
2012-01-06,31,45,74
2012-01-06,31,93,12
2012-01-06,32,9,55
2012-01-06,32,45,48
2012-01-06,33,9,115
2012-01-06,33,92,1
2012-01-06,34,9,55
2012-01-06,34,45,122
2012-01-06,34,93,3
2012-01-06,36,9,41
2012-01-06,37,5,38
2012-01-06,37,45,72
2012-01-06,37,53,2
2012-01-06,38,9,84
2012-01-06,38,45,108
2012-01-06,39,9,6
2012-01-06,39,36,15
2012-01-06,40,5,88
2012-01-06,40,45,68
2012-01-06,41,16,55
2012-01-06,41,61,7
2012-01-06,41,68,105
2012-01-06,42,5,63
2012-01-06,42,45,72
2012-01-06,42,82,1
2012-01-06,43,16,79
2012-01-06,43,37,32
2012-01-06,43,73,1
2012-01-06,44,5,95
2012-01-06,44,68,40
2012-01-06,45,9,32
2012-01-07,1,9,2
2012-01-07,1,28,1
2012-01-07,2,5,71
2012-01-07,3,45,124
2012-01-07,4,27,6
2012-01-07,5,16,40
2012-01-07,5,20,1
2012-01-07,5,37,30
2012-01-07,6,9,110
2012-01-07,6,45,57
2012-01-07,7,7,4
2012-01-07,7,23,26
2012-01-07,8,5,72
2012-01-07,8,23,14
2012-01-07,9,5,120
2012-01-07,9,10,4
2012-01-07,9,45,75
2012-01-07,10,5,120
2012-01-07,10,21,1
2012-01-07,10,37,46
2012-01-07,11,9,67
2012-01-07,11,61,4
2012-01-07,11,68,84
2012-01-07,12,16,54
2012-01-07,12,37,51
2012-01-07,12,93,7
2012-01-07,13,36,95
2012-01-07,13,46,9
2012-01-07,13,93,1
2012-01-07,14,9,43
2012-01-07,14,25,9
2012-01-07,14,70,1
2012-01-07,15,17,4
2012-01-07,15,49,2
2012-01-07,15,61,2
2012-01-07,16,16,42
2012-01-07,16,50,2
2012-01-07,17,37,82
2012-01-07,17,71,1
2012-01-07,18,5,23
2012-01-07,18,37,12
2012-01-07,19,16,31
2012-01-07,19,69,1
2012-01-07,19,83,18
2012-01-07,20,5,46
2012-01-07,20,18,4
2012-01-07,20,41,30
2012-01-07,20,74,4
2012-01-07,21,5,32
2012-01-07,21,44,82
2012-01-07,21,91,1
2012-01-07,22,9,89
2012-01-07,22,68,72
2012-01-07,23,5,26
2012-01-07,23,29,1
2012-01-07,23,45,34
2012-01-07,24,6,61
2012-01-07,24,43,130
2012-01-07,24,60,2
2012-01-07,25,50,1
2012-01-07,25,81,19
2012-01-07,26,5,36
2012-01-07,26,45,62
2012-01-07,27,9,51
2012-01-07,27,68,66
2012-01-07,28,5,27
2012-01-07,28,35,3
2012-01-07,28,45,61
2012-01-07,29,8,21
2012-01-07,29,41,24
2012-01-07,29,45,83
2012-01-07,29,56,5
2012-01-07,30,16,44
2012-01-07,30,49,1
2012-01-07,30,65,1
2012-01-07,31,9,66
2012-01-07,31,45,60
2012-01-07,31,93,3
2012-01-07,32,9,81
2012-01-07,32,19,2
2012-01-07,32,45,63
2012-01-07,32,51,2
2012-01-07,32,58,2
2012-01-07,32,86,2
2012-01-07,32,93,8
2012-01-07,33,92,4
2012-01-07,34,9,95
2012-01-07,34,31,2
2012-01-07,34,45,133
2012-01-07,34,52,1
2012-01-07,36,9,98
2012-01-07,37,5,112
2012-01-07,37,45,65
2012-01-07,37,53,2
2012-01-07,38,45,132
2012-01-07,39,9,4
2012-01-07,39,36,11
2012-01-07,40,45,113
2012-01-07,40,55,4
2012-01-07,41,16,84
2012-01-07,41,61,2
2012-01-07,41,93,2
2012-01-07,42,5,68
2012-01-07,42,45,58
2012-01-07,43,16,110
2012-01-07,43,37,38
2012-01-07,44,5,31
2012-01-07,44,62,5
2012-01-07,44,68,55
2012-01-07,45,9,19
2012-01-08,1,9,22
2012-01-08,1,28,4
2012-01-08,1,51,1
2012-01-08,2,11,4
2012-01-08,2,85,2
2012-01-08,3,5,54
2012-01-08,3,45,113
2012-01-08,4,9,123
2012-01-08,4,27,20
2012-01-08,5,16,71
2012-01-08,5,32,1
2012-01-08,5,37,32
2012-01-08,6,9,66
2012-01-08,6,45,62
2012-01-08,7,7,3
2012-01-08,7,23,32
2012-01-08,8,5,101
2012-01-08,8,23,17
2012-01-08,8,93,1
2012-01-08,9,5,86
2012-01-08,9,10,1
2012-01-08,9,45,8
2012-01-08,9,93,1
2012-01-08,10,5,75
2012-01-08,10,37,42
2012-01-08,11,9,56
2012-01-08,11,68,73
2012-01-08,12,16,61
2012-01-08,12,37,43
2012-01-08,13,93,7
2012-01-08,14,9,16
2012-01-08,14,50,1
2012-01-08,14,70,2
2012-01-08,15,17,2
2012-01-08,15,49,1
2012-01-08,15,61,3
2012-01-08,15,93,3
2012-01-08,16,16,47
2012-01-08,17,37,99
2012-01-08,18,5,16
2012-01-08,18,37,28
2012-01-08,19,16,26
2012-01-08,19,69,1
2012-01-08,19,83,9
2012-01-08,20,5,132
2012-01-08,20,18,1
2012-01-08,20,41,34
2012-01-08,20,74,4
2012-01-08,21,44,76
2012-01-08,22,9,100
2012-01-08,22,68,76
2012-01-08,23,5,36
2012-01-08,23,29,1
2012-01-08,23,45,51
2012-01-08,24,43,120
2012-01-08,25,12,1
2012-01-08,25,81,22
2012-01-08,26,5,90
2012-01-08,26,45,67
2012-01-08,27,9,68
2012-01-08,27,68,91
2012-01-08,27,93,2
2012-01-08,28,5,78
2012-01-08,28,35,1
2012-01-08,28,45,76
2012-01-08,29,8,51
2012-01-08,29,41,34
2012-01-08,29,45,115
2012-01-08,29,56,5
2012-01-08,30,16,72
2012-01-08,30,49,1
2012-01-08,30,65,1
2012-01-08,31,9,113
2012-01-08,31,45,110
2012-01-08,32,9,48
2012-01-08,32,19,1
2012-01-08,32,45,42
2012-01-08,32,51,1
2012-01-08,32,58,2
2012-01-08,34,9,90
2012-01-08,34,45,123
2012-01-08,34,52,2
2012-01-08,36,9,66
2012-01-08,36,30,2
2012-01-08,36,44,98
2012-01-08,37,5,71
2012-01-08,37,45,80
2012-01-08,39,36,14
2012-01-08,40,5,102
2012-01-08,40,45,93
2012-01-08,40,51,5
2012-01-08,40,55,2
2012-01-08,41,16,83
2012-01-08,41,61,1
2012-01-08,41,68,110
2012-01-08,41,86,1
2012-01-08,42,5,108
2012-01-08,42,45,101
2012-01-08,42,82,4
2012-01-08,43,16,99
2012-01-08,43,37,22
2012-01-08,44,5,55
2012-01-08,44,62,5
2012-01-08,44,68,64
2012-01-08,45,9,8
2012-01-08,45,50,1
2012-01-09,1,9,50
2012-01-09,1,28,1
2012-01-09,1,51,1
2012-01-09,2,5,53
2012-01-09,2,44,99
2012-01-09,3,5,82
2012-01-09,3,45,89
2012-01-09,4,9,85
2012-01-09,4,27,8
2012-01-09,5,16,49
2012-01-09,5,20,1
2012-01-09,5,32,7
2012-01-09,5,37,21
2012-01-09,6,9,56
2012-01-09,6,45,42
2012-01-09,7,5,133
2012-01-09,7,23,17
2012-01-09,7,93,4
2012-01-09,8,5,29
2012-01-09,8,23,6
2012-01-09,8,59,4
2012-01-09,9,5,57
2012-01-09,9,45,89
2012-01-09,10,5,40
2012-01-09,10,21,1
2012-01-09,10,37,31
2012-01-09,10,86,1
2012-01-09,11,9,22
2012-01-09,11,61,1
2012-01-09,11,68,44
2012-01-09,12,16,40
2012-01-09,12,37,25
2012-01-09,13,5,116
2012-01-09,13,36,103
2012-01-09,13,46,3
2012-01-09,14,9,13
2012-01-09,14,70,2
2012-01-09,15,5,111
2012-01-09,15,17,3
2012-01-09,15,45,111
2012-01-09,15,61,1
2012-01-09,16,16,37
2012-01-09,17,37,78
2012-01-09,17,48,118
2012-01-09,17,71,2
2012-01-09,18,5,35
2012-01-09,18,37,5
2012-01-09,19,16,12
2012-01-09,19,69,1
2012-01-09,19,83,8
2012-01-09,20,5,52
2012-01-09,20,41,24
2012-01-09,20,74,9
2012-01-09,21,5,51
2012-01-09,21,44,83
2012-01-09,21,91,1
2012-01-09,22,9,112
2012-01-09,22,68,46
2012-01-09,22,93,4
2012-01-09,23,5,31
2012-01-09,23,45,37
2012-01-09,24,6,109
2012-01-09,24,43,91
2012-01-09,24,76,1
2012-01-09,25,45,132
2012-01-09,25,81,11
2012-01-09,26,5,51
2012-01-09,26,45,37
2012-01-09,27,9,50
2012-01-09,27,68,64
2012-01-09,27,80,1
2012-01-09,27,93,12
2012-01-09,28,5,28
2012-01-09,28,35,2
2012-01-09,28,45,49
2012-01-09,29,8,26
2012-01-09,29,41,25
2012-01-09,29,45,63
2012-01-09,29,56,1
2012-01-09,30,16,53
2012-01-09,31,9,41
2012-01-09,31,45,15
2012-01-09,32,9,54
2012-01-09,32,45,57
2012-01-09,33,92,2
2012-01-09,34,9,56
2012-01-09,34,31,2
2012-01-09,34,45,94
2012-01-09,36,9,86
2012-01-09,36,30,1
2012-01-09,36,44,89
2012-01-09,37,5,94
2012-01-09,37,45,51
2012-01-09,37,53,1
2012-01-09,38,9,37
2012-01-09,38,45,76
2012-01-09,39,9,3
2012-01-09,39,36,8
2012-01-09,40,5,63
2012-01-09,40,45,72
2012-01-09,41,16,82
2012-01-09,41,61,4
2012-01-09,41,68,59
2012-01-09,42,5,19
2012-01-09,42,45,69
2012-01-09,42,82,1
2012-01-09,43,16,69
2012-01-09,43,37,21
2012-01-09,43,73,1
2012-01-09,44,5,68
2012-01-09,44,62,2
2012-01-09,44,68,42
2012-01-09,45,9,20
2012-01-10,1,9,25
2012-01-10,2,85,1
2012-01-10,2,93,1
2012-01-10,3,5,95
2012-01-10,3,45,97
2012-01-10,3,93,8
2012-01-10,4,9,57
2012-01-10,4,27,5
2012-01-10,5,16,52
2012-01-10,5,20,1
2012-01-10,5,37,14
2012-01-10,5,93,2
2012-01-10,6,9,77
2012-01-10,6,45,45
2012-01-10,7,7,4
2012-01-10,7,23,13
2012-01-10,8,5,74
2012-01-10,8,23,8
2012-01-10,9,5,101
2012-01-10,9,45,73
2012-01-10,10,5,56
2012-01-10,10,21,1
2012-01-10,10,37,24
2012-01-10,11,9,31
2012-01-10,11,61,1
2012-01-10,11,68,20
2012-01-10,11,86,1
2012-01-10,12,16,33
2012-01-10,12,37,25
2012-01-10,12,86,1
2012-01-10,12,93,2
2012-01-10,13,36,75
2012-01-10,13,93,5
2012-01-10,14,9,5
2012-01-10,14,25,15
2012-01-10,15,5,81
2012-01-10,15,45,78
2012-01-10,15,61,3
2012-01-10,16,16,53
2012-01-10,17,37,75
2012-01-10,17,48,118
2012-01-10,17,71,1
2012-01-10,18,5,23
2012-01-10,18,37,8
2012-01-10,19,16,13
2012-01-10,19,83,2
2012-01-10,20,41,36
2012-01-10,20,74,2
2012-01-10,21,5,68
2012-01-10,21,44,85
2012-01-10,21,91,3
2012-01-10,22,68,53
2012-01-10,23,5,47
2012-01-10,23,45,26
2012-01-10,24,6,13
2012-01-10,24,43,74
2012-01-10,25,9,18
2012-01-10,25,45,115
2012-01-10,25,81,17
2012-01-10,26,5,93
2012-01-10,26,45,50
2012-01-10,27,21,2
2012-01-10,27,68,62
2012-01-10,27,93,4
2012-01-10,28,5,77
2012-01-10,28,45,69
2012-01-10,29,8,64
2012-01-10,29,41,40
2012-01-10,29,45,105
2012-01-10,30,16,46
2012-01-10,30,49,2
2012-01-10,31,9,83
2012-01-10,31,45,37
2012-01-10,32,9,76
2012-01-10,32,45,56
2012-01-10,33,92,1
2012-01-10,34,9,24
2012-01-10,34,31,1
2012-01-10,34,52,2
2012-01-10,36,9,75
2012-01-10,36,30,5
2012-01-10,36,44,97
2012-01-10,37,5,58
2012-01-10,37,45,39
2012-01-10,38,45,125
2012-01-10,39,9,2
2012-01-10,39,36,9
2012-01-10,40,5,67
2012-01-10,40,45,45
2012-01-10,40,51,5
2012-01-10,41,16,82
2012-01-10,41,61,4
2012-01-10,41,68,79
2012-01-10,41,86,1
2012-01-10,42,5,119
2012-01-10,42,45,105
2012-01-10,42,82,3
2012-01-10,43,16,65
2012-01-10,43,37,23
2012-01-10,44,5,47
2012-01-10,44,62,2
2012-01-10,44,68,61
2012-01-11,1,9,26
2012-01-11,1,28,1
